DATE,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,f_t0,f_t1,f_t2,f_t3,f_t4,r_t0,r_t1,r_t2,r_t3,e_t0,e_t1,e_t2,e_t3,e_t4
1991-12-31,3.0064516129032257,3.2774193548387096,3.546774193548387,3.556451612903226,3.7193548387096773,3.767741935483871,0.008193548387096773,0.017133135535900124,0.026176597486935016,0.035718384720019314,0.04547418369867229,-0.0007594516129032156,-0.0016732994620995978,-0.0023747210618205727,-0.003070105102252141,-0.00014869221937344884,-0.0025061243218582607,-0.003260946584935809,-0.005001661170531246,-0.006468820461227098
1992-03-31,3.2,3.117241379310345,3.1413793103448273,3.413793103448276,3.531034482758621,3.579310344827586,0.007793103448275862,0.01570775445897743,0.02437629477720482,0.03341906482765178,0.04266638370085096,-0.0010738320355952128,-0.002129147124659392,-0.0029248483187380714,-0.003558592261323712,-0.0012634782971272292,-0.00095563837675261,-0.0018853637010260993,-0.0027056428203966476,-0.00421414669964193
1992-06-30,3.3923076923076922,3.1500000000000004,3.380769230769231,3.6076923076923078,3.7173076923076924,3.803846153846154,0.007875,0.016393481971153978,0.0255605693373937,0.03509137982070709,0.044934700730733024,2.1551724137904016e-05,-6.14741822346776e-05,0.00013276943313367262,0.0004877690862694628,0.0002941494473812298,-0.0005357212791790023,-0.0015336591980374958,-0.0033758584367569178,-0.005290299000795251
1992-09-30,2.716,3.0839999999999996,3.2760000000000002,3.312,3.364,3.444,0.007709999999999999,0.015963144899999948,0.024375319739772028,0.03299031617878345,0.041884362801082764,-0.0007419230769231079,-0.0015842387908284739,-0.0026284057427601315,-0.0037798197316547544,-8.368922783630762e-05,-0.00023387893241189062,-0.001019743000020057,-0.0017701064552371193,-0.005897708844934124
1992-12-31,2.6,3.1838709677419357,3.225806451612903,3.270967741935484,3.3419354838709676,3.448387096774194,0.007959677419354839,0.016088384495317465,0.024397365316916275,0.03295604007875763,0.04186112077911419,-0.00023032258064508045,-0.000449428704682564,-0.0006895308920955578,-0.0009568543066138524,8.194982757063658e-05,-0.0004781668983446785,-0.0009820389214572067,-0.0048103447145189104,-0.006146835064828382
1993-03-31,2.9,3.076,3.112,3.3,3.32,3.4964,0.00769,0.015529828199999818,0.023907949282649943,0.032406385261695814,0.04143064947526831,-0.0003745161290322511,-0.000778054214152224,-0.0008910215684461154,-0.0012273444590764626,-0.00018178789300795934,-0.00027877235767204134,-0.003964260873452252,-0.0049544847455060825,-0.008582221507178245
1993-06-30,3.968,3.3560000000000003,3.26,3.392,3.628,3.64,0.008390000000000002,0.016608378499999965,0.025229217549679994,0.03452804655285546,0.043942251776486474,0.0006100000000001035,0.0005141934999999265,0.0007014508141800491,0.0010448826083206963,-0.0007048579413132458,-0.004265574587563936,-0.005434154671244862,-0.009376672542608544,-0.011804384985615535
1993-09-30,2.2,2.6530769230769233,3.3065384615384614,3.328076923076923,3.33,3.3703846153846153,0.006632692307692308,0.01495386659208564,0.023398477945567597,0.031918270274464255,0.040613173930632795,-0.0015173076923077934,-0.0017452454079145419,-0.0025220950002724507,-0.0033381798851828126,-0.0020105522568488153,-0.0029363024598925147,-0.0060654527549044435,-0.007652035007535973,-0.007333765564559336
1993-12-31,1.2,3.072962962962963,3.0625925925925923,3.0414814814814815,3.0666666666666664,3.151111111111111,0.007682407407407408,0.015397709098936785,0.023118492420344694,0.030962400862234007,0.03908409355347109,-0.0005839387464387303,-0.0012576069522833855,-0.0020004791370018538,-0.002794183721801957,-0.00032100874166104184,-0.0027453051421850727,-0.0035647772144558054,-0.0024369810324664787,-0.005037624724393508
1994-03-31,2.8999999999999995,2.9615384615384617,3.042307692307692,3.1769230769230767,3.223076923076923,3.2884615384615383,0.007403846153846154,0.015065927329881657,0.02312789325271325,0.03137194300796109,0.03985101042403616,-0.0002526353276353045,-0.0002524754719015476,2.5382696116293957e-05,0.00020965822931251488,-0.002151505436787553,-0.0029627074166596046,-0.002118530384478623,-0.004881876782795391,-0.005596614443218684
1994-06-30,2.1,3.1689655172413795,3.189655172413793,3.3586206896551727,3.386206896551724,3.386206896551724,0.007922413793103449,0.015959726144471054,0.02449028453468416,0.03316312470203808,0.041909384947360406,0.0003166445623342829,0.0003512418619266988,0.0006983395807091952,0.0009544286621434583,-0.0011073297404001915,-0.00028503282325331725,-0.0033635239713036835,-0.004312602212260597,-0.004426422657491935
1994-09-30,2.8,3.2304347826086954,3.395652173913043,3.369565217391304,3.3347826086956522,3.365217391304348,0.008076086956521738,0.01663377634688068,0.02519781087588968,0.03374484045134407,0.04244178073948901,0.00010194902548721872,0.00019613143011487644,0.0001554955512939049,2.50117332247779e-05,0.0007235520326480619,-0.0024189749028371565,-0.003311529287441939,-0.0032845516426796006,-0.00679196124490411
1994-12-31,3.6,3.1999999999999997,3.391666666666667,3.3941666666666666,3.4250000000000003,3.4791666666666665,0.008,0.016546999999999867,0.02517282485624972,0.033950867169081356,0.04294408564914587,-0.000489130434782499,-0.00043755517485810635,-0.0002902863383811294,-0.00013950976538268378,-0.0026320733616640377,-0.0035745106240212543,-0.0037011183029058703,-0.00733489758733219,-0.010960189429060962
1995-03-31,2.308695652173913,3.226086956521739,3.316521739130435,3.4239130434782608,3.5543478260869565,3.5760869565217392,0.008065217391304348,0.016423392911153023,0.02512375619286522,0.034232872178600715,0.04347913888911048,-0.0004139492753622454,-0.0006131396843327419,-0.0006211517129695032,-0.00043387945745676504,-0.0005012574357983867,-0.0004055953583164129,-0.0039891621995393756,-0.007759012334329407,-0.00832897203705274
1995-06-30,3.1,3.42975,3.45,3.505,3.565,3.585,0.008574375,0.01727332898437517,0.026187186529600837,0.03533307982954592,0.044612252557518106,0.0002830706521738998,0.00035127026509362835,0.00022889103854750736,0.00020249414239037478,-0.00018400184919407057,-0.0038045720843973285,-0.007419246587008876,-0.0079539674427056,-0.007517971259218381
1995-09-30,3.3864864864864863,2.9486486486486485,3.2324324324324323,3.3,3.381081081081081,3.432702702702703,0.0073716216216216214,0.01551227337472616,0.023890249630067695,0.03254488951038659,0.041405938592597114,-0.0012533783783784834,-0.001950803187773964,-0.0026409666022957357,-0.0031866127474593497,-0.0023354928718953673,-0.005221053755720462,-0.005059507348482484,-0.00407981396845547,-0.007028885822726316
